x,y
632.0,208.0
636.0,208.0
636.0,208.0
628.0,212.0
628.0,212.0
630.0,212.0
632.0,212.0
632.0,212.0
632.0,212.0
632.0,216.0
632.0,212.0
632.0,216.0
632.0,220.0
636.0,220.0
638.0,216.0
636.0,212.0
636.0,216.0
638.0,220.0
636.0,224.0
636.0,224.0
636.0,232.0
636.0,232.0
